pmd,Violations
2022-08-03T00:39,194.0
2022-08-03T01:51,194.0
2022-08-03T20:22,181.0
2022-08-03T23:15,149.0
2022-08-04T00:05,147.0
2022-08-04T00:32,149.0
2022-08-04T01:43,149.0
2022-08-04T02:02,149.0
2022-08-04T02:21,149.0
2022-08-04T16:45,150.0
2022-08-04T17:01,152.0
2022-08-04T17:02,152.0
2022-08-04T18:52,166.0
2022-08-04T19:43,163.0
2022-08-04T22:04,165.0
2022-08-04T22:30,165.0
